chembl_id,smiles,pIC50,n
CHEMBL403183,Cc1ccc(S(=O)(=O)/C=C/C#N)cc1,6.09,1
CHEMBL1200471,[O-][n+]1ccccc1[S-].[O-][n+]1ccccc1[S-].[Zn+2],5.61,1
CHEMBL3747259,O=C(/C=C/c1ccc(O)c2c1[C@@H](C(=O)O[C@H](Cc1ccc(O)c(O)c1)C(=O)O)[C@H](c1ccc(O)c(O)c1)O2)O[C@H](Cc1ccc(O)c(O)c1)C(=O)O,5.47,1
CHEMBL324842,O=C(/C=C/c1ccc(O)c(O)c1)O[C@H](Cc1ccc(O)c(O)c1)C(=O)O,5.41,1
CHEMBL1380480,COc1cc(C(=S)N2CCOCC2)ccc1O,5.88,1
CHEMBL1161936,O=C(O)c1ccc(SSc2ccc(C(=O)O)cn2)nc1,6.62,1
CHEMBL120563,CN(C)C(=S)SSC(=S)N(C)C,7.3,1
CHEMBL51085,O=c1c2ccccc2[se]n1-c1ccccc1,6.17,28
CHEMBL1188627,C/N=c1/nc(-c2ccccc2)n(-c2ccccc2)s1,6.01,1
CHEMBL4303331,C[C@@H]1O[C@@H](Oc2c(-c3cc(O)c(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)[C@@H](O)[C@H](O)[C@H]1O,5.44,1
CHEMBL1256832,Cl.Oc1cc2c(cc1O)[C@H]1c3ccccc3CN[C@@H]1CC2,5.98,1
CHEMBL510038,Nc1nnc(Sc2ncc([N+](=O)[O-])s2)s1,7.52,1
CHEMBL964,CCN(CC)C(=S)SSC(=S)N(CC)CC,5.145,16
CHEMBL1474701,O=C1C=CC(=O)C2=C1C1c3ccccc3C2c2ccccc21,6.62,1
CHEMBL1408862,O=[N+]([O-])C(Br)(CO)CO,6.38,1
CHEMBL929,CC(C)Nc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1.CS(=O)(=O)O,5.4,1
CHEMBL444478,C[C@@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](OCCc3ccc(O)c(O)c3)O[C@H](CO)[C@H]2OC(=O)/C=C/c2ccc(O)c(O)c2)[C@H](O)[C@H](O)[C@H]1O,5.34,1
CHEMBL571700,CN(C)C(=S)SC(=S)N(C)C,6.03,1
CHEMBL472940,Oc1ccc2ccccc2c1SSc1c(O)ccc2ccccc12,5.63,3
CHEMBL1374426,CCC(=O)OCN1C(=O)C=CC1=O,6.54,1
CHEMBL518800,CC[C@H](CO)Nc1nc(NCc2ccc(-c3ccccn3)cc2)c2ncn(C(C)C)c2n1,6.08,1
CHEMBL596674,CC(C)N(CCC(=O)c1ccc2ccccc2c1)Cc1ccccc1,6.24,1
CHEMBL270299,CC(C)(C)c1ccc(S(=O)(=O)/C=C/C#N)cc1,6.08,1
CHEMBL4303312,Oc1c(I)cc(I)c(O)c1I,6.48,1
CHEMBL188434,CCn1c(-c2nonc2N)nc2cncc(CNC3CCNCC3)c21,5.68,1
CHEMBL4303618,CCc1ccc(/C=C/C(=O)Nc2ccc(C(C)=O)cc2)o1,5.3,1
CHEMBL128251,O=C(O)CCCCCCCCCCCCCCc1ccc(I)cc1,5.65,1
CHEMBL4303361,Oc1cc(CNC(=S)/C=C/c2cc(O)c(O)c(Br)c2)cc(O)c1O,6.32,1
CHEMBL4303622,N#CSc1cc(SC#N)c(N)nc1N,6.39,1
CHEMBL111654,Sc1nc2ccccc2s1,5.76,1
CHEMBL9116,CNC(=O)ON(C(C)=O)C(=O)NC,5.88,1
CHEMBL1591074,c1ccc2sc(SNC3CCCCC3)nc2c1,6.11,1
CHEMBL329522,O=C(c1cc(O)c(O)c(O)c1)c1ccc(O)c(O)c1O,5.36,1
CHEMBL465704,Nc1ccc2cc3ccc(N)cc3nc2c1.Nc1ccc2cc3ccc(N)cc3nc2c1.O=S(=O)(O)O,6.08,1
CHEMBL2107818,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(/C(CO)=N/NC(=O)CCCCCN1C(=O)C=CC1=O)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,6.24,1
CHEMBL8260,O=c1cc(-c2ccccc2)oc2cc(O)c(O)c(O)c12,6.03,25
CHEMBL2354521,COc1cccc(C(=O)CCN[C@@H](C)[C@H](O)c2ccccc2)c1.Cl,5.63,1
CHEMBL508280,O=[N+]([O-])c1cnc(Sc2nnc(O)n2-c2ccc3c(c2)OCCO3)s1,6.52,1
CHEMBL3187985,CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3.CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3.Cl.Cl.O,6.28,1
CHEMBL477197,Oc1cc2c(cc1O)[C@@H]1c3ccc(O)c(O)c3OC[C@]1(O)C2,6.66,1
CHEMBL1449651,N.S=C(S)N1CCCC1,6.68,1
CHEMBL1201073,O=C(O)[C@@H](S)[C@@H](S)C(=O)O,5.76,1
CHEMBL376488,COc1nc2ccc(Br)cc2cc1[C@@H](c1ccccc1)[C@@](O)(CCN(C)C)c1cccc2ccccc12,5.36,1
